Country Name;Country Code;2015;2016;2017;2018;2019;2020
Aruba;ABW;88.66122693;93.54245387;97.17;;;
Africa Eastern and Southern;AFE;14.62566359;15.89435523;18.24005982;21.70069538;24.30465847;27.3503079
Afghanistan;AFG;8.26;11;13.5;16.8;17.6;18.4
Africa Western and Central;AFW;18.19228688;20.92663241;24.66358693;29.33836803;31.78586051;34.12813669
Angola;AGO;22;23.2;26;29;32.4;36
Albania;ALB;56.9;59.6;62.4;65.4;68.55039112;72.24
Andorra;AND;87.9;89.7;91.56746703;;;
Arab World;ARB;41.86635892;43.36102836;48.39656005;54.48275057;61.44226911;68.86595791
United Arab Emirates;ARE;90.5;90.60000732;94.81992254;98.45000178;99.14999998;100
Argentina;ARG;68.04306411;70.96898082;74.29490687;77.7;79.9;85.5
Armenia;ARM;59.10083377;64.34602977;64.74488433;68.24505226;66.54394969;76.51
American Samoa;ASM;;;;;;
Antigua and Barbuda;ATG;70;73;;;;
Australia;AUS;84.56051491;86.54;86.54504885;87.6;88.6;89.6
Austria;AUT;83.94014193;84.32374257;87.93558659;87.47913723;87.75220479;87.52942813
Azerbaijan;AZE;77;78.2;79;79.79999549;81.09999907;84.59999573
Burundi;BDI;2;2.2;2.660748535;4.1;6.2;9.4
Belgium;BEL;85.05294175;86.51647666;87.67968082;88.647343;90.27542981;91.52641629
Benin;BEN;11.25498791;14.5;18.7;19;22.4;25.8
Burkina Faso;BFA;8;12;16.8;17.4;18;22
Bangladesh;BGD;12.9;18.1;19.8;21.8;23.8;24.8
Bulgaria;BGR;56.65625161;59.82554766;63.41010138;64.78201069;67.94698094;70.16
Bahrain;BHR;93.4783008;97.9999807;95.87813575;98.64467258;99.70149256;99.67
Bahamas, The;BHS;78;80;80.6;83;85;87
Bosnia and Herzegovina;BIH;52.6;60.25653543;64.89202051;70.12013504;69.94634763;73.21
Belarus;BLR;62.23036091;71.11304576;74.43644541;79.12988669;82.78915209;85.09
Belize;BLZ;41.59;44.57574032;47.0826258;49.8;50.8;
Bermuda;BMU;98.32360965;98;98.37;;;
Bolivia;BOL;37.49;39.6975146;43.83227607;44.2861422;47.47481911;59.94010155
Brazil;BRA;58.32795173;60.87254007;67.47128452;70.43428254;73.91244005;81.34269353
Barbados;BRB;76.11;79.54939789;81.76077839;;;
Brunei Darussalam;BRN;71.2;90;94.86669164;95;95;95
Bhutan;BTN;39.8;41.77264453;46.2;49.5;53.5;53.5
Botswana;BWA;37.31205037;39.36299738;41.41379464;58;61;64
Central African Republic;CAF;2.9;3.1;4;5.1;8.3;10.4
Canada;CAN;90;91.16;92.70137191;94.64;96.5;96.97
Central Europe and the Baltics;CEB;67.35117029;71.34198079;73.40956731;75.98213727;78.72948708;81.77477559
Switzerland;CHE;87.4790556;89.13468774;89.68614767;91.8;93.14608695;94.2
Channel Islands;CHI;;;;;;
Chile;CHL;76.62959195;83.55858602;82.32748693;84.9;86.1;88.3
China;CHN;50.3;53.2;54.3;59.2;64.10983774;70.40477542
Cote d'Ivoire;CIV;16.7;25.3;34.8;37.54653613;36.28895457;
Cameroon;CMR;18.3;20.6;23.20297197;29.7;33.5;37.8
Congo, Dem. Rep.;COD;3.799999507;6.20997406;8.619904916;11.7;12.5;13.6
Congo, Rep.;COG;7.615974662;8.121949323;8.65;;;
Colombia;COL;55.90497251;58.13649357;62.25988032;64.12637682;65.00690072;69.79
Comoros;COM;7.459161386;7.938322771;8.478170295;;;
Cabo Verde;CPV;42.68301416;50.32281787;57.16214635;59.5;61.94339776;64.5
Costa Rica;CRI;59.76295014;65.88044919;71.58166462;73.47972844;81.20259644;80.53018608
Caribbean small states;CSS;49.96500365;52.26414964;57.71852501;;;
Cuba;CUB;37.30509742;42.97867519;57.14840432;62.67892362;67.97080866;74
Curacao;CUW;;61.85551074;68.12721625;;;
Cayman Islands;CYM;77;79;81.06769325;;;
Cyprus;CYP;71.71574092;75.9002054;80.74318897;84.43358252;86.06362996;90.80194723
Czech Republic;CZE;75.6688387;76.4811987;78.71917285;80.68816754;80.86694441;81.33889705
Germany;DEU;87.58979935;84.16520664;84.3941537;87.03711209;88.13451691;89.81294133
Djibouti;DJI;22.9;30.8;55.68140925;58;59;59
Dominica;DMA;65;67.03;69.61966879;;;
Denmark;DNK;96.33050162;96.96778525;97.09936216;97.31920437;98.04643475;96.54914573
Dominican Republic;DOM;54.21576634;63.87086474;67.57124533;74.82204836;75.8;76.9
Algeria;DZA;38.2;42.94552688;47.69105515;49.03846808;57.9;62.9
East Asia & Pacific (excluding high income);EAP;44.15290412;47.67554633;50.0671344;55.73529561;60.55893543;66.59196271
Early-demographic dividend;EAR;24.47004385;27.16990606;30.44538957;33.20463022;39.68158354;48.29986381
East Asia & Pacific;EAS;48.87998914;52.24225035;54.3732285;59.51553839;63.94029646;69.21808706
Europe & Central Asia (excluding high income);ECA;58.70513685;62.39863656;66.21781353;72.58059804;76.63481131;80.10472047
Europe & Central Asia;ECS;70.01831428;72.39662256;74.52881666;78.92040674;81.82335109;83.88905329
Ecuador;ECU;48.94043379;54.06292473;55.8;57.5;61.6;64.6
Egypt, Arab Rep.;EGY;37.81938343;41.24806709;44.95020425;46.92433677;57.2828664;71.91420097
Euro area;EMU;77.47168696;77.96842653;79.64010814;82.98396015;84.82612004;85.26189322
Eritrea;ERI;1.083733116;1.17711872;1.30890698;;;
Spain;ESP;78.68963187;80.56133294;84.6022457;86.10723553;90.71866533;93.20564892
Estonia;EST;88.4097035;87.24023275;88.10245687;89.35700777;90.2289282;89.05828666
Ethiopia;ETH;13.85517556;15.36692386;18.61805145;20;22;24
