Country,Year,Happiness,Economy,Social support,Health,Freedom,Generosity,Corruption,Positive affect,Negative affect,Government,Code,Alcohol,Population,Tobacco,Internet
Albania,2018,5.004402637,9.412399292,0.683591664,68.69999695,0.824212313,0.005384951,0.899129391,0.713299572,0.318996727,0.435337961,ALB,7.17,2882735.0,29.2,65.4
Argentina,2018,5.792796612,9.809971809,0.899911582,68.80000305,0.845894694,-0.206936628,0.855255246,0.820309699,0.320502073,0.261352271,ARG,9.65,44361150.0,21.8,77.7
Armenia,2018,5.062448502,9.119423866,0.814449012,66.90000153,0.807643652,-0.149108693,0.676826358,0.581487715,0.454840273,0.670827627,ARM,5.55,2951741.0,26.7,68.24505226
Australia,2018,7.17699337,10.7210207,0.940137267,73.59999847,0.916028142,0.137795404,0.404647499,0.759018838,0.187456369,0.468836874,AUS,10.51,24898153.0,16.2,87.6
Austria,2018,7.396001816,10.74189281,0.911668122,73.0,0.904111981,0.051552333,0.52306056,0.75235039,0.226058796,0.488678724,AUT,11.96,8891383.0,29.1,87.47913723
Azerbaijan,2018,5.167995453,9.678013802,0.781229913,65.5,0.772449255,-0.251795292,0.561206281,0.592575371,0.191391662,0.834371924,AZE,4.41,9949537.0,19.6,79.79999549
Bangladesh,2018,4.499217033,8.22074604,0.705556035,64.30000305,0.90147084,-0.038008336,0.701421201,0.541344702,0.361237794,0.831693113,BGD,0.019,161376713.0,39.1,21.8
Belarus,2018,5.233769894,9.778738976,0.904569268,66.09999847,0.643602371,-0.181864843,0.718455493,0.45033285,0.235728621,0.421278685,BLR,11.45,9452615.0,26.6,79.12988669
Belgium,2018,6.89217186,10.6724453,0.929815531,72.0,0.808386624,-0.127278343,0.630411804,0.74956274,0.250297338,0.44194454,BEL,11.08,11482180.0,25.0,88.647343
Benin,2018,5.81982708,7.663907051,0.503544033,54.29999924,0.713264048,0.024661165,0.746510744,0.646655142,0.467871815,0.639219761,BEN,2.81,11485035.0,7.2,19.0
Bosnia and Herzegovina,2018,5.887401104,9.402726173,0.835889578,67.80000305,0.658846438,0.124626905,0.912857771,0.642939508,0.277365059,0.254097164,BIH,7.15,3323929.0,38.3,70.12013504
Botswana,2018,3.4613657,9.680226326,0.794936001,58.90000153,0.817621112,-0.259084016,0.806945443,0.729643226,0.267083704,0.718788147,BWA,6.59,2254067.0,23.7,58.0
Brazil,2018,6.190921783,9.557932854,0.881505251,66.40000153,0.75060904,-0.126326516,0.763251305,0.749727845,0.349656254,0.16818665,BRA,7.42,209469320.0,16.5,70.43428254
Bulgaria,2018,5.098813534,9.873218536,0.923853278,66.80000305,0.724335909,-0.179109603,0.952014446,0.639021873,0.189090982,0.218995899,BGR,12.65,7051610.0,38.9,64.78201069
